test_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000024985.21:B1	ENSMUSG00000024985.21	Tcf7l2	alternative first region	alternative acceptor	chr19	+	null	[55896854, 55896987]	4	[[[55730251, 55730962], [55731207, 55731274], [55731504, 55731629], [55806195, 55806297]], [[55730315, 55730962], [55731207, 55731274], [55731504, 55731629], [55743445, 55743514], [55806195, 55806297]], [[55730700, 55730962], [55731207, 55731274], [55731504, 55731629], [55806195, 55806297]], [[55883941, 55884069]]]	4	27.52249170902928	0.0014096185737976	0.035218553175401
ENSMUSG00000025006.19:B2	ENSMUSG00000025006.19	Sorbs1	cassette exon	cassette exon	chr19	-	[40381831, 40381960]	[40386985, 40387054]	2	[[], [[40384122, 40384212]]]	7	23.570824546006406	0.0005389718076285	0.0207913764510779
ENSMUSG00000025404.16:B2	ENSMUSG00000025404.16	R3hdm2	cassette exon	cassette exon	chr10	+	[127295335, 127295444]	[127300850, 127300882]	2	[[], [[127298056, 127298152]]]	10	40.70664789927105	0.0004560530679933	0.0201751182923304
ENSMUSG00000025404.16:B3	ENSMUSG00000025404.16	R3hdm2	cassette exon	cassette exon	chr10	+	[127300850, 127300882]	[127307636, 127307869]	2	[[], [[127300999, 127301053]]]	10	31.410248656757176	0.0008706467661691	0.0259151772004176
ENSMUSG00000025437.16:B3	ENSMUSG00000025437.16	Usp33	cassette exon	cassette exon	chr3	+	[152095377, 152095468]	[152097286, 152097355]	2	[[], [[152095468, 152095480]]]	10	40.04946317610302	0.0002487562189054	0.0139477033437463
ENSMUSG00000025576.18:B1	ENSMUSG00000025576.18	Rbfox3	alternative first region	alternative acceptor; mutually exclusive exons	chr11	-	[118561474, 118561579]	null	3	[[[118800129, 118800376], [118702103, 118702242]], [[118800129, 118800398], [118702103, 118702242]], [[118802261, 118802423], [118702103, 118702242]]]	8	148.06097605600735	0.0006218905472636	0.0212677746021664
ENSMUSG00000025576.18:B4	ENSMUSG00000025576.18	Rbfox3	cassette exon	cassette exon	chr11	-	[118387176, 118387216]	[118387763, 118387896]	2	[[], [[118387216, 118387357]]]	8	79.25177307018748	0.0001243781094527	0.0117598283094332
ENSMUSG00000025579.15:B1	ENSMUSG00000025579.15	Gaa	alternative first region	cassette exon	chr11	+	null	[119158853, 119158917]	2	[[], [[119158851, 119158853]]]	6	25.641374326107325	0.0005804311774461	0.0212033268003417
ENSMUSG00000026028.13:B1	ENSMUSG00000026028.13	Trak2	alternative first region	multi-exon skipping	chr1	-	[58985405, 58985496]	null	2	[[], [[59012395, 59012589], [58985496, 58985694]]]	6	20.855084332999013	0.0011194029850746	0.0306690976933514
ENSMUSG00000026109.15:B1	ENSMUSG00000026109.15	Tmeff2	alternative first region		chr1	+	null	[50966906, 50967278]	2	[[[50949120, 50950047], [50951946, 50952031], [50953389, 50953487], [50964425, 50964568], [50964700, 50964905]], [[50966677, 50966906]]]	5	44.96783864298868	0.0001243781094527	0.0117598283094332
ENSMUSG00000026123.12:B1	ENSMUSG00000026123.12	Plekhb2	alternative first region	cassette exon	chr1	+	null	[34889072, 34889144]	2	[[], [[34889056, 34889072]]]	6	41.33364030295161	0.0001243781094527	0.0117598283094332
ENSMUSG00000026131.21:B1	ENSMUSG00000026131.21	Dst	whole-gene complex		chr1	+	null	null	6	[[[34044962, 34045089], [34045271, 34045479], [34125322, 34125384], [34153013, 34153103], [34155198, 34155276], [34156512, 34156605], [34174170, 34176216]], [[34045206, 34045479], [34125322, 34125384], [34153013, 34153103], [34155198, 34155276], [34156512, 34156605], [34174170, 34176217]], [[34050893, 34050996], [34125322, 34125384], [34153013, 34153103], [34155198, 34155276], [34156512, 34156605], [34174170, 34174337], [34191282, 34191395], [34191493, 34191600], [34193593, 34193713], [34195679, 34195775], [34195861, 34195989], [34199700, 34199794], [34200084, 34200239], [34202089, 34202552], [34202706, 34202835], [34202977, 34203055], [34203156, 34203318], [34203407, 34203512], [34204138, 34204234], [34205260, 34205386], [34206022, 34206172], [34206356, 34206511], [34206691, 34206818], [34206903, 34207087], [34208244, 34208402], [34208830, 34209009], [34209440, 34209579], [34210196, 34210390], [34211263, 34211426], [34212082, 34212166], [34213195, 34213303], [34213777, 34213876], [34223096, 34223225], [34225042, 34225131], [34225899, 34226032], [34236281, 34236434], [34237598, 34237832], [34238372, 34238639], [34239950, 34240496], [34241525, 34241702], [34247634, 34247758], [34250234, 34250443], [34251302, 34251620], [34251982, 34252149], [34253614, 34253771], [34254566, 34254693], [34256890, 34256953], [34257415, 34257657], [34258476, 34258606], [34262884, 34263084], [34264589, 34265085], [34266855, 34268327], [34281699, 34281861], [34283424, 34283595], [34286729, 34286896], [34288559, 34288719], [34289690, 34289775], [34290776, 34291018], [34291891, 34292098], [34295312, 34295432], [34295622, 34295730], [34296802, 34297021], [34299244, 34299448], [34301100, 34301332], [34302344, 34302571], [34303605, 34303728], [34303830, 34303932], [34305937, 34306039], [34307309, 34307483], [34307815, 34307971], [34309908, 34310106], [34310435, 34310564], [34313248, 34313419], [34314285, 34314441], [34314753, 34314960], [34317100, 34317220], [34321503, 34321673], [34323339, 34323499], [34326267, 34326462], [34326971, 34327100], [34328604, 34328748], [34329439, 34329628], [34330867, 34330997], [34332400, 34332564], [34333464, 34333627], [34334234, 34334389], [34334542, 34334617], [34335822, 34335840], [34338801, 34338919], [34340941, 34341013], [34341910, 34342113], [34345608, 34345732], [34346410, 34347733]], [[34050905, 34050996], [34125322, 34125384], [34153013, 34153103], [34155198, 34155276], [34156512, 34156605], [34174170, 34174337], [34191282, 34191395], [34191493, 34191600], [34193593, 34193713], [34195679, 34195775], [34195861, 34195989], [34199700, 34199794], [34200084, 34200239], [34202089, 34202552], [34202706, 34202835], [34202977, 34203055], [34203156, 34203318], [34203407, 34203512], [34204138, 34204234], [34205260, 34205386], [34206022, 34206172], [34206356, 34206511], [34206691, 34206818], [34206903, 34207087], [34208244, 34208402], [34208830, 34209009], [34209440, 34209579], [34210196, 34210390], [34211263, 34211426], [34212082, 34212166], [34213195, 34213303], [34213777, 34213876], [34223096, 34223225], [34225042, 34225131], [34225899, 34226032], [34227052, 34232344], [34232472, 34232622], [34233085, 34233301], [34233595, 34233745], [34234908, 34235142], [34236281, 34236434], [34237598, 34237832], [34238372, 34238639], [34239950, 34240496], [34241525, 34241702], [34247634, 34247758], [34250234, 34250443], [34251302, 34251620], [34251982, 34252149], [34253614, 34253771], [34254566, 34254693], [34256890, 34256953], [34257415, 34257657], [34258476, 34258606], [34262884, 34263084], [34264589, 34265085], [34266855, 34268327], [34281699, 34281861], [34283424, 34283595], [34286729, 34286896], [34288559, 34288719], [34289690, 34289775], [34290776, 34291018], [34291891, 34292098], [34295312, 34295432], [34295622, 34295730], [34296802, 34297021], [34299244, 34299448], [34301100, 34301332], [34302344, 34302571], [34303605, 34303728], [34303830, 34303932], [34305937, 34306039], [34307309, 34307483], [34307815, 34307971], [34309908, 34310106], [34310435, 34310564], [34313248, 34313419], [34314285, 34314441], [34314753, 34314960], [34317100, 34317220], [34321503, 34321673], [34323339, 34323499], [34326267, 34326462], [34326971, 34327100], [34328604, 34328748], [34329439, 34329628], [34330867, 34330997], [34332400, 34332564], [34333464, 34333627], [34334234, 34334389], [34334542, 34334617], [34334746, 34334764], [34338801, 34338919], [34341910, 34342113], [34342501, 34342612], [34345608, 34345732], [34346410, 34347731]], [[34050905, 34050996], [34125322, 34125384], [34153013, 34153103], [34155198, 34155276], [34156512, 34156605], [34174170, 34174337], [34191282, 34191395], [34191493, 34191600], [34193593, 34193713], [34195679, 34195775], [34195861, 34195989], [34199700, 34199794], [34200084, 34200239], [34202089, 34202552], [34202706, 34202835], [34202977, 34203055], [34203156, 34203318], [34203407, 34203512], [34204138, 34204234], [34205260, 34205386], [34206022, 34206172], [34206356, 34206511], [34206691, 34206818], [34206903, 34207087], [34208244, 34208402], [34208830, 34209009], [34209440, 34209579], [34210196, 34210390], [34211263, 34211426], [34212082, 34212166], [34213195, 34213303], [34213777, 34213876], [34223096, 34223225], [34225042, 34225131], [34225899, 34226032], [34227052, 34232344], [34232472, 34232622], [34233085, 34233301], [34233595, 34233745], [34234908, 34235142], [34236281, 34236434], [34237598, 34237832], [34238372, 34238639], [34239950, 34240496], [34241525, 34241702], [34247634, 34247758], [34250234, 34250443], [34251302, 34251620], [34251982, 34252149], [34253614, 34253771], [34254566, 34254693], [34256890, 34256953], [34257415, 34257657], [34258476, 34258606], [34262884, 34263084], [34264589, 34265085], [34266855, 34268327], [34281699, 34281861], [34283424, 34283595], [34286729, 34286896], [34288559, 34288719], [34289690, 34289775], [34290776, 34291018], [34291891, 34292098], [34295312, 34295432], [34295622, 34295730], [34296802, 34297021], [34299244, 34299448], [34301100, 34301332], [34302344, 34302571], [34303605, 34303728], [34303830, 34303932], [34305937, 34306039], [34307309, 34307483], [34307815, 34307971], [34309908, 34310106], [34310435, 34310564], [34313248, 34313419], [34314285, 34314441], [34314753, 34314960], [34317100, 34317220], [34321503, 34321673], [34323339, 34323499], [34326267, 34326462], [34326971, 34327100], [34328604, 34328748], [34329439, 34329628], [34330867, 34330997], [34332400, 34332564], [34333464, 34333627], [34334234, 34334389], [34334542, 34334617], [34335822, 34335840], [34338801, 34338919], [34340941, 34341013], [34341910, 34342113], [34345608, 34345732], [34346410, 34347742]], [[34199410, 34199577], [34199700, 34199794], [34200084, 34200239], [34202089, 34202552], [34202706, 34202835], [34202977, 34203055], [34203156, 34203318], [34203407, 34203512], [34204138, 34204234], [34205260, 34205386], [34206022, 34206172], [34206356, 34206511], [34206691, 34206818], [34206903, 34207087], [34208244, 34208402], [34208830, 34209009], [34209440, 34209579], [34210196, 34210390], [34211263, 34211426], [34212082, 34212166], [34213195, 34213303], [34213777, 34213876], [34216876, 34219579], [34220215, 34222985]]]	13	230.8429423468188	0.0002072968490878	0.0135079108959705
ENSMUSG00000026442.15:B1	ENSMUSG00000026442.15	Nfasc	alternative first region	mutually exclusive exons	chr1	-	[132570415, 132570596]	null	2	[[[132634836, 132635064], [132593216, 132593325]], [[132669408, 132669495], [132593216, 132593325]]]	11	44.36289265856976	0.0002072968490878	0.0135079108959705
ENSMUSG00000026473.17:B1	ENSMUSG00000026473.17	Glul	alternative first region	mutually exclusive exons	chr1	+	null	[153778679, 153778858]	2	[[[153775689, 153775805]], [[153776330, 153776891]]]	9	33.059763205583295	0.0002487562189054	0.0139477033437463
ENSMUSG00000026632.18:B1	ENSMUSG00000026632.18	Tatdn3	alternative first region	cassette exon	chr1	-	[190794997, 190795101]	null	2	[[], [[190795101, 190795102]]]	5	20.34748924155884	0.0011194029850746	0.0306690976933514
ENSMUSG00000026632.18:B4	ENSMUSG00000026632.18	Tatdn3	alternative last region	cassette exon	chr1	-	null	[190778038, 190778517]	2	[[], [[190778034, 190778038]]]	5	19.221808126745145	0.0014096185737976	0.035218553175401
ENSMUSG00000026721.17:B1	ENSMUSG00000026721.17	Rabgap1l	whole-gene complex		chr1	-	null	null	3	[[[160178790, 160179141], [160169605, 160169734], [160085012, 160085105], [160075028, 160075139], [160066100, 160066205], [160064195, 160064279], [160059365, 160059437], [160054054, 160054252], [160046743, 160051938]], [[160620305, 160620508], [160568453, 160568501], [160568321, 160568369], [160566465, 160566658], [160563117, 160563328], [160561098, 160561273], [160551601, 160551759], [160549702, 160549813], [160537716, 160537783], [160529927, 160530030], [160528281, 160528448], [160509610, 160509752], [160500020, 160500271]], [[160620305, 160620516], [160568321, 160568501], [160566465, 160566658], [160563117, 160563328], [160561098, 160561273], [160551601, 160551759], [160549702, 160549813], [160537716, 160537783], [160529927, 160530030], [160528281, 160528448], [160509610, 160509752], [160472877, 160472971], [160454784, 160454935], [160299567, 160299681], [160281320, 160281395], [160270760, 160270886], [160269392, 160269536], [160219751, 160219793], [160169605, 160169734], [160085012, 160085105], [160084774, 160084836]]]	5	28.455989786340524	0.0006218905472636	0.0212677746021664
ENSMUSG00000026797.17:B1	ENSMUSG00000026797.17	Stxbp1	alternative first region	cassette exon	chr2	-	[32737066, 32737214]	null	2	[[], [[32737214, 32737257]]]	10	29.045000011312368	0.0008706467661691	0.0259151772004176
ENSMUSG00000026827.13:B1	ENSMUSG00000026827.13	Gpd2	alternative first region	alternative acceptor	chr2	+	null	[57157984, 57158094]	2	[[[57128308, 57128579]], [[57128393, 57128579]]]	11	31.223936858121306	0.0017827529021558	0.040165988929023
ENSMUSG00000026842.17:B1	ENSMUSG00000026842.17	Abl1	alternative first region	mutually exclusive exons	chr2	+	null	[31668345, 31668519]	2	[[[31578562, 31579954]], [[31649954, 31650127]]]	6	26.613217371704422	0.0004145936981757	0.0194094253650839
ENSMUSG00000026872.19:B1	ENSMUSG00000026872.19	Zeb2	alternative first region	alternative acceptor; mutually exclusive exons	chr2	-	[45000027, 45000169]	null	6	[[[45000359, 45000527]], [[45000432, 45000745]], [[45002834, 45002902]], [[45002834, 45002997]], [[45002834, 45003291]], [[45007211, 45007407], [45002834, 45003104]]]	8	110.68122854885225	0.0005804311774461	0.0212033268003417
ENSMUSG00000026883.18:B1	ENSMUSG00000026883.18	Dab2ip	alternative first region	mutually exclusive exons	chr2	+	null	[35597659, 35597813]	5	[[[35448277, 35448624], [35533899, 35534003], [35551503, 35551637]], [[35471071, 35471145], [35533899, 35534003], [35551503, 35551637]], [[35512048, 35512295], [35533899, 35534003], [35551503, 35551637]], [[35582005, 35582422]], [[35586743, 35586819]]]	7	119.68519807237772	0.0009535655058043	0.0276993546324601
ENSMUSG00000026883.18:B4	ENSMUSG00000026883.18	Dab2ip	alternative last region	alternative donor; cassette exon	chr2	+	[35620435, 35620999]	null	3	[[], [[35620999, 35621004]], [[35620999, 35621006]]]	7	88.62521053668752	0.0001243781094527	0.0117598283094332
ENSMUSG00000026959.14:B3	ENSMUSG00000026959.14	Grin1	cassette exon	cassette exon	chr2	-	[25181192, 25182140]	[25185803, 25185949]	2	[[[25182140, 25182496]], [[25184449, 25184560], [25182140, 25182496]]]	8	80.50503026723163	0.0001243781094527	0.0117598283094332
ENSMUSG00000027254.14:B1	ENSMUSG00000027254.14	Map1a	alternative first region		chr2	+	null	[121129077, 121129160]	2	[[[121120080, 121120353], [121121200, 121121302]], [[121125934, 121126023]]]	13	123.22066179174	0.0001243781094527	0.0117598283094332
ENSMUSG00000027351.15:B1	ENSMUSG00000027351.15	Spred1	alternative first region	cassette exon	chr2	+	null	[116952118, 116952237]	2	[[], [[116951854, 116952118]]]	6	20.68176472592586	0.0019485903814262	0.0413925234327627
ENSMUSG00000027457.16:B2	ENSMUSG00000027457.16	Snph	cassette exon	cassette exon	chr2	-	[151474067, 151474174]	[151474375, 151474469]	2	[[], [[151474174, 151474375]]]	7	24.89128823675128	0.0018242122719734	0.040165988929023
ENSMUSG00000027457.16:B3	ENSMUSG00000027457.16	Snph	compound internal	alternative acceptor; cassette exon	chr2	-	[151439028, 151439178]	[151442897, 151442994]	3	[[], [[151442176, 151442284]], [[151442176, 151442383]]]	7	31.82759370831264	0.0021973466003316	0.0445193500285686
ENSMUSG00000027457.16:B4	ENSMUSG00000027457.16	Snph	alternative last region	alternative donor; cassette exon	chr2	-	null	[151433644, 151436519]	3	[[], [[151432468, 151433644]], [[151432483, 151433644]]]	7	32.41586076760359	0.0016169154228855	0.0384077151189863
ENSMUSG00000027525.19:B1	ENSMUSG00000027525.19	Phactr3	alternative first region	mutually exclusive exons	chr2	+	null	[177969933, 177969986]	5	[[[177760767, 177761095], [177897905, 177898067], [177901970, 177902048], [177911109, 177911292], [177920689, 177920899], [177924802, 177924977], [177925652, 177925900], [177944477, 177944631]], [[177760971, 177761095], [177897905, 177898067], [177901970, 177902048], [177911109, 177911292], [177920689, 177920899], [177924802, 177924977], [177925652, 177925900], [177944477, 177944631], [177969930, 177969933]], [[177783725, 177784292], [177897905, 177898067], [177901970, 177902048], [177911109, 177911292], [177920689, 177920899], [177924802, 177924977], [177925652, 177925900], [177944477, 177944631], [177969930, 177969933]], [[177817141, 177817303], [177897905, 177898067], [177901970, 177902048], [177911109, 177911292], [177920689, 177920899], [177924802, 177924977], [177925652, 177925900], [177944477, 177944631], [177969930, 177969933]], [[177834876, 177834986], [177897905, 177898067], [177901970, 177902048], [177911109, 177911292], [177920689, 177920899], [177924802, 177924977], [177925652, 177925900], [177944477, 177944631], [177969930, 177969933]]]	7	114.66397111247534	0.0005389718076285	0.0207913764510779
ENSMUSG00000027624.21:B5	ENSMUSG00000027624.21	Epb41l1	alternative last region	cassette exon	chr2	+	[156381729, 156385132]	null	2	[[], [[156385132, 156385134]]]	11	33.63486791089235	0.0009535655058043	0.0276993546324601
ENSMUSG00000027634.15:B1	ENSMUSG00000027634.15	Ndrg3	alternative first region	alternative acceptor; cassette exon	chr2	-	[156833918, 156833955]	null	3	[[], [[156833955, 156833963]], [[156833955, 156833976]]]	7	83.06013209788762	0.0001243781094527	0.0117598283094332
ENSMUSG00000027742.14:B1	ENSMUSG00000027742.14	Cog6	alternative first region	cassette exon	chr3	-	[52924466, 52924637]	null	2	[[], [[52924637, 52924658]]]	4	21.600955600471025	0.0006218905472636	0.0212677746021664
ENSMUSG00000027797.16:B2	ENSMUSG00000027797.16	Dclk1	alternative last region		chr3	+	[55370421, 55370516]	null	4	[[[55373993, 55378737]], [[55385225, 55385310], [55387754, 55387863], [55394727, 55394785], [55395212, 55395332], [55397170, 55397317], [55407455, 55407589], [55409793, 55409871], [55410229, 55410326], [55414121, 55414202], [55424293, 55424407], [55429270, 55429344], [55440990, 55446485]], [[55385225, 55385310], [55387754, 55387863], [55394727, 55394785], [55395212, 55395332], [55397170, 55397317], [55407455, 55407589], [55409793, 55409871], [55410232, 55410326], [55414121, 55414202], [55424293, 55424407], [55440990, 55443973]], [[55385225, 55385358], [55387754, 55387863], [55394727, 55394785], [55395212, 55395332], [55397170, 55397317], [55407455, 55407589], [55409793, 55409871], [55410229, 55410326], [55414121, 55414202], [55424293, 55424407], [55440990, 55446485]]]	10	590.6239284929616	0.0001243781094527	0.0117598283094332
ENSMUSG00000028106.14:B1	ENSMUSG00000028106.14	Rprd2	alternative first region	cassette exon	chr3	-	[95725858, 95726070]	null	2	[[], [[95726070, 95726090]]]	8	28.03333226178165	0.0004560530679933	0.0201751182923304
ENSMUSG00000028180.19:B1	ENSMUSG00000028180.19	Zranb2	alternative first region	cassette exon	chr3	+	null	[157240024, 157240111]	2	[[], [[157239995, 157240024]]]	10	34.85361640471456	0.0002487562189054	0.0139477033437463
ENSMUSG00000028399.19:B3	ENSMUSG00000028399.19	Ptprd	cassette exon	cassette exon	chr4	-	[75968563, 75968676]	[75977905, 75978066]	2	[[], [[75972825, 75972840]]]	9	46.936871545243775	0.0001243781094527	0.0117598283094332
ENSMUSG00000028399.19:B4	ENSMUSG00000028399.19	Ptprd	cassette exon	cassette exon	chr4	-	[75957517, 75957615]	[75968563, 75968676]	2	[[], [[75958116, 75958158]]]	9	70.62043332918256	0.0001243781094527	0.0117598283094332
ENSMUSG00000028444.18:B1	ENSMUSG00000028444.18	Cntfr	alternative first region	mutually exclusive exons	chr4	-	[41686796, 41686886]	null	2	[[[41695310, 41695442]], [[41696977, 41697040]]]	11	46.37471629650463	0.0002072968490878	0.0135079108959705
ENSMUSG00000028488.16:B1	ENSMUSG00000028488.16	Sh3gl2	alternative first region	alternative acceptor; cassette exon	chr4	+	null	[85123771, 85123858]	3	[[], [[85123362, 85123771]], [[85123677, 85123771]]]	6	50.90564236822138	0.0002072968490878	0.0135079108959705
ENSMUSG00000028634.18:B1	ENSMUSG00000028634.18	Hivep3	whole-gene complex		chr4	+	null	null	3	[[[119590992, 119593965]], [[119671691, 119671987], [119854370, 119854449], [119922063, 119922260], [119951160, 119956647], [119960908, 119961051], [119980068, 119980244], [119985472, 119985559], [119988918, 119989826], [119990777, 119995242]], [[119951685, 119956647], [119960908, 119961051], [119980068, 119980244], [119985472, 119985559], [119988918, 119989826], [119990777, 119991754]]]	10	156.4579763916572	0.0005389718076285	0.0207913764510779
ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23	Macf1	multi-exon skipping	multi-exon skipping	chr4	-	[123354877, 123355027]	[123373979, 123374115]	2	[[], [[123364799, 123370130], [123363515, 123363665], [123359651, 123359867], [123359148, 123359298], [123357330, 123357564]]]	13	35.484584209058085	0.0009950248756218	0.0287305985044835
ENSMUSG00000028677.20:B1	ENSMUSG00000028677.20	Rnf220	alternative first region		chr4	-	[117143125, 117143169]	null	3	[[[117146399, 117146643], [117146222, 117146265]], [[117232510, 117232654], [117164742, 117164875], [117156741, 117156787], [117153328, 117153430], [117146222, 117146265]], [[117353879, 117354249], [117346785, 117347527], [117164742, 117164875], [117156741, 117156787], [117153328, 117153430], [117146222, 117146265]]]	3	57.55003295060874	0.0001243781094527	0.0117598283094332
ENSMUSG00000028677.20:B2	ENSMUSG00000028677.20	Rnf220	cassette exon	cassette exon	chr4	-	[117142575, 117142708]	[117143125, 117143169]	2	[[], [[117143047, 117143125]]]	3	37.0158901024804	0.0001243781094527	0.0117598283094332
ENSMUSG00000028745.19:B2	ENSMUSG00000028745.19	Capzb	cassette exon	cassette exon	chr4	+	[139015066, 139015143]	[139018313, 139018751]	2	[[], [[139016171, 139016284]]]	3	11.916200735559414	0.0019900497512437	0.0420878065811294
ENSMUSG00000028785.14:B1	ENSMUSG00000028785.14	Hpca	alternative first region	mutually exclusive exons	chr4	-	[129012156, 129012555]	null	4	[[[129012555, 129012760]], [[129013942, 129014739]], [[129015014, 129015084]], [[129015627, 129015682]]]	9	159.62582559483417	0.0005804311774461	0.0212033268003417
ENSMUSG00000029062.15:B1	ENSMUSG00000029062.15	Cdk11b	alternative first region	cassette exon	chr4	+	null	[155709366, 155709398]	2	[[], [[155709325, 155709366]]]	6	26.92956853580836	0.0004145936981757	0.0194094253650839
ENSMUSG00000029095.18:B1	ENSMUSG00000029095.18	Ablim2	alternative first region	alternative acceptor	chr5	+	null	[35981368, 35981456]	3	[[[35915223, 35915404], [35955796, 35955940], [35959703, 35959887], [35964382, 35964498], [35966526, 35966653], [35969469, 35969563]], [[35915309, 35915404], [35955796, 35955940], [35959703, 35959887], [35964382, 35964498], [35966526, 35966653], [35969469, 35969563]], [[35971769, 35972007]]]	5	27.31310456465144	0.0008706467661691	0.0259151772004176
ENSMUSG00000029095.18:B3	ENSMUSG00000029095.18	Ablim2	alternative last region	cassette exon	chr5	+	[35990404, 35990448]	null	4	[[[35990448, 35990474], [35994291, 35994441], [35997133, 35997166], [35998624, 35998745], [36006859, 36006913], [36014471, 36014524], [36015169, 36015308], [36024048, 36024110], [36030513, 36030568], [36031976, 36031984], [36032176, 36032257], [36040649, 36040763]], [[35990448, 35990474], [35994291, 35994441], [35998624, 35998745], [36000511, 36000610], [36006147, 36006249], [36006859, 36006913], [36014471, 36014524], [36015169, 36015308], [36031976, 36031984], [36032176, 36032257], [36040649, 36041810]], [[35990448, 35990474], [35994291, 35994441], [35998624, 35998745], [36000511, 36000610], [36006147, 36006249], [36014471, 36014524], [36015169, 36015308], [36031976, 36031984], [36032176, 36032257], [36040649, 36041810]], [[35990448, 35990474], [35994291, 35994441], [35998624, 35998745], [36006147, 36006249], [36006859, 36006913], [36014471, 36014524], [36015169, 36015308], [36024048, 36024110], [36030513, 36030568], [36031976, 36031984], [36032176, 36032257], [36040649, 36042317]]]	5	64.20293991493236	0.0001658374792703	0.0135079108959705
ENSMUSG00000029438.10:B1	ENSMUSG00000029438.10	Bcl7a	alternative first region	cassette exon	chr5	+	null	[123482562, 123482784]	2	[[], [[123482510, 123482562]]]	8	66.11534616740028	0.0001243781094527	0.0117598283094332
ENSMUSG00000029673.20:B1	ENSMUSG00000029673.20	Auts2	alternative first region	mutually exclusive exons	chr5	-	[131562659, 131562711]	null	3	[[[131566498, 131567526]], [[131644795, 131645444]], [[132570353, 132572183], [132287762, 132287975], [132079146, 132079248], [132059828, 132059864], [131799598, 131799628]]]	10	107.09903163638228	0.00136815920398	0.0349061570454605
ENSMUSG00000029754.14:B1	ENSMUSG00000029754.14	Dlx6	cassette exon	cassette exon	chr6	+	[6867040, 6867329]	[6867876, 6867970]	2	[[], [[6867329, 6867876]]]	2	8.89519649190487	0.0007462686567164	0.024314239612747
ENSMUSG00000030231.12:B1	ENSMUSG00000030231.12	Plekha5	alternative first region		chr6	+	null	[140470590, 140470674]	2	[[[140369779, 140369982], [140370102, 140370182], [140372223, 140372281]], [[140378714, 140378780]]]	8	24.04593949142236	0.0014510779436152	0.0353388780005695
ENSMUSG00000030428.17:B1	ENSMUSG00000030428.17	Ttyh1	alternative first region	alternative acceptor	chr7	+	null	[4127618, 4127730]	2	[[[4122531, 4122779], [4125475, 4125654]], [[4122583, 4122779], [4125475, 4125654]]]	7	24.902965874305664	0.0018242122719734	0.040165988929023
ENSMUSG00000030774.14:B1	ENSMUSG00000030774.14	Pak1	alternative first region	mutually exclusive exons	chr7	+	null	[97503642, 97503856]	2	[[[97437747, 97438181]], [[97492141, 97492348]]]	6	57.81474187585718	0.0001243781094527	0.0117598283094332
ENSMUSG00000030815.12:B1	ENSMUSG00000030815.12	Phkg2	alternative first region	mutually exclusive exons	chr7	+	null	[127173025, 127173138]	2	[[[127172575, 127172628]], [[127172700, 127173025]]]	4	18.318694598237016	0.0011194029850746	0.0306690976933514
ENSMUSG00000030854.18:B1	ENSMUSG00000030854.18	Ptpn5	alternative first region	mutually exclusive exons	chr7	-	[46762468, 46762545]	null	2	[[[46782025, 46782465]], [[46783003, 46783432]]]	6	26.94898278045548	0.0005389718076285	0.0207913764510779
ENSMUSG00000031309.16:B1	ENSMUSG00000031309.16	Rps6ka3	alternative first region		chrX	+	null	[158068261, 158068318]	2	[[[157993302, 157993560], [157994609, 157994720], [158061105, 158061199], [158062162, 158062199]], [[158038853, 158039184]]]	2	7.848128716236602	0.0016998341625207	0.0390314301508331
ENSMUSG00000031467.11:B1	ENSMUSG00000031467.11	Agpat5	alternative first region	cassette exon	chr8	+	null	[18896294, 18896794]	2	[[], [[18896292, 18896294]]]	2	11.00576305117022	0.001077943615257	0.0300453416923091
ENSMUSG00000031523.17:B1	ENSMUSG00000031523.17	Dlc1	alternative first region	mutually exclusive exons	chr8	-	[37066522, 37066594]	null	3	[[[37080712, 37081097]], [[37199741, 37200208]], [[37419274, 37419596], [37404713, 37405912], [37325079, 37325229], [37317317, 37317449], [37230798, 37230832]]]	4	26.12978983158655	0.0011608623548922	0.0316253009903402
ENSMUSG00000031626.19:B2	ENSMUSG00000031626.19	Sorbs2	cassette exon	cassette exon	chr8	+	[46189189, 46189239]	[46198456, 46198483]	2	[[], [[46194523, 46194616]]]	11	60.0221968006008	0.0001243781094527	0.0117598283094332
ENSMUSG00000031644.20:B4	ENSMUSG00000031644.20	Nek1	cassette exon	cassette exon	chr8	+	[61507553, 61507656]	[61525309, 61525393]	2	[[], [[61524784, 61524868]]]	3	12.82623861792581	0.0012437810945273	0.0324189861503294
ENSMUSG00000031748.17:B1	ENSMUSG00000031748.17	Gnao1	alternative first region	alternative acceptor; cassette exon	chr8	+	null	[94537940, 94538081]	3	[[], [[94537465, 94537940]], [[94537467, 94537940]]]	12	479.916306311392	0.0001243781094527	0.0117598283094332
ENSMUSG00000031865.17:B3	ENSMUSG00000031865.17	Dctn1	alternative last region	alternative donor	chr6	+	[83176655, 83176952]	null	2	[[[83176952, 83177098]], [[83176952, 83177099]]]	10	47.43493134707387	0.0001658374792703	0.0135079108959705
ENSMUSG00000032076.21:B1	ENSMUSG00000032076.21	Cadm1	alternative first region	cassette exon	chr9	+	null	[47441670, 47441803]	2	[[], [[47441660, 47441670]]]	5	20.24693948775075	0.0010364842454394	0.0297495656637447
